Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет)	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет) 4г Журавлева ЯА	Ознакомительный	6 - 12		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет)	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет) 2в Дейкина Г.А.	Ознакомительный	6 - 12		Да		Групповая
Профориентация	Я выбираю профессию 2022-2023 8-11 класс (Филёвский б-р д.13 к.2) (бюджет)	Я выбираю профессию 2022-2023 8-11 класс (Филёвский б-р д.13 к.2) (бюджет) 9г Анашкин ПИ	Ознакомительный	13 - 18		Да		Групповая
Основы обществознания	Обществознание на 5+ 2022-2023 9 классы (Прусакова АВ - Новозаводская 19) бюджет	9о Обществознание на 5+ 2022-2023 9 классы (Прусакова АВ - Новозаводская 19) бюджет гр 2	Ознакомительный	13 - 16		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет)	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет) 4б Абаскулиева АА	Ознакомительный	6 - 12		Да		Групповая
Интеллектуальные игры	Ментальная арифметика 2022-2023 1-2 класс (Евланова НВ - Новозаводская 19 (платно)	Ментальная арифметика 2022-2023 1-2 класс (Евланова НВ - Новозаводская 19 (платно)	Ознакомительный	6 - 8		Нет		Групповая
Китайский язык	Китайский язык 2022-2023 1-5 класс (Филёвский б-р д.3 к.2) (платно)	Китайский язык 2022-2023 1-5 класс (Филёвский б-р д.3 к.2) (платно) №7 1-4 класс	Ознакомительный	6 - 16		Нет		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет)	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет) 2г Шулаева ГА	Ознакомительный	6 - 12		Да		Групповая
Художественно-эстетическое и творческое развитие	Солнечный зайчик 2022-2023 (Погосян О.А., Склокина Ю.А. - Филевский бульвар 17А) (платно)	Солнечный зайчик 2022-2023 (Погосян О.А., Склокина Ю.А. - Филевский бульвар 17А) (платно) 1гр	Ознакомительный	3 - 4		Нет		Групповая
Иные лингвинистические программы (польский, греческий, шведский, латынь и др.)	Изучение латыни 2022-2023 11М (Архипов СВ - Барклая 15-3) (бюджет)	Изучение латыни 2022-2023 11М (Архипов СВ - Барклая 15-3) (бюджет)	Ознакомительный	16 - 18		Да		Групповая
Профориентация	Я выбираю профессию 2022-2023 8-11 класс (Барклая 15-3) (бюджет)	Я выбираю профессию 2022-2023 8-11 класс (Барклая 15-3) (бюджет) 9к Крайнева ОА	Ознакомительный	13 - 18		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет)	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет) Фильчакова СВ 2К	Ознакомительный	6 - 11		Да		Групповая
Социализация и общение	Логоритмика 2022-2023 (Грачева В.С. Котарыгина Ю.А. - Физкультурный пр-д 8) (платно)	Логоритмика 2022-2023 (Грачева В.С. Котарыгина Ю.А. - Физкультурный пр-д 8) (платно) №1	Ознакомительный	4 - 6		Нет		Групповая
Профориентация	Я выбираю профессию 2022-2023 8-11 класс (Барклая 15-3) (бюджет)	Я выбираю профессию 2022-2023 8-11 класс (Барклая 15-3) (бюджет) 9м Люкманова МС	Ознакомительный	13 - 18		Да		Групповая
Профориентация	Я выбираю профессию 2022-2023 8-11 класс (Новозаводская 19) (бюджет)	Я выбираю профессию 2022-2023 8-11 класс (Новозаводская 19) (бюджет) 9н Паникина НН	Ознакомительный	13 - 18		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет)	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет) 4у Лазарева ГИ	Ознакомительный	6 - 12		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет)	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет) 3о Данилина ИВ	Ознакомительный	6 - 11		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет)	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет) 2б Уварова АП	Ознакомительный	6 - 12		Да		Групповая
Подготовка к школе	Первые шаги к знаниям (подготовка к школе) 2022-2023 СУББОТА (Б.Филевская 15) (платно)	Первые шаги к знаниям (подготовка к школе) 2022-2023 СУББОТА (Б.Филевская 15) (платно) №2 Бурдюгова АС	Ознакомительный	5 - 7		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Новозаводская д.19) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Новозаводская д.19) (платно) 1кл Черепова АА/Никишина СЕ	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Филёвский б-р д.3 к.2) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Филёвский б-р д.3 к.2) (платно) Катровская ТВ/Васильева НН	Ознакомительный	6 - 11		Нет		Групповая
Художественно-эстетическое и творческое развитие	ИЗО "Малевичи" 2022-2023 (дошкольники) (Барвинская НИ - Физкультурный пр-д,8) (платно)	ИЗО "Малевичи" 2022-2023 (дошкольники) (Барвинская НИ - Физкультурный пр-д,8) (платно) №3	Ознакомительный	4 - 7		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (ул.Барклая д.15 к.3) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (ул.Барклая д.15 к.3) (платно) Напреенкова АА	Ознакомительный	6 - 11		Нет		Групповая
Английский язык	Английский+ 2022-2023 4 класс (Тарасова Л.К - Филевский б-р д.3 к.2) (платно)	Английский+ 2022-2023 4 класс (Тарасова Л.К - Филевский б-р д.3 к.2) (платно)	Ознакомительный	9 - 10		Нет		Групповая
Художественно-эстетическое и творческое развитие	Солнечный зайчик 2022-2023 (Погосян О.А., Склокина Ю.А. - Филевский бульвар 17А) (платно)	Солнечный зайчик 2022-2023 (Погосян О.А., Склокина Ю.А. - Филевский бульвар 17А) (платно) 2гр	Ознакомительный	3 - 4		Нет		Групповая
Русский язык и культура речи	Грамотей 2022-2023 (Завялова Л.Л. - Филевский б-р 8-2) (платно)	Грамотей 2022-2023 (Завялова Л.Л. - Филевский б-р 8-2) (платно)	Ознакомительный	4 - 6		Нет		Групповая
Интеллектуальное развитие	Занимательная логика-1 2022-2023 (Горященко СВ - Филевский б-р 1-2) (платно)	Занимательная логика-1 2022-2023 (Горященко СВ - Филевский б-р 1-2) (платно)	Ознакомительный	5 - 7		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (ул.Барклая д.15 к.3) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (ул.Барклая д.15 к.3) (платно) Кузнецова ОС	Ознакомительный	6 - 11		Нет		Групповая
Подготовка к школе	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Барклая 15-3) (платно)	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Барклая 15-3) (платно) Петрухина НА	Ознакомительный	5 - 7		Нет		Групповая
Основы обществознания	Обществознание на 5+ 2022-2023 9 классы (Прусакова АВ - Новозаводская 19) бюджет	9н,9п Обществознание на 5+ 2022-2023 9 классы (Прусакова АВ - Новозаводская 19) бюджет гр 1	Ознакомительный	13 - 16		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет)	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет) Богданова СЮ 1К	Ознакомительный	6 - 11		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет)	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет) 3м Крюкова ТН	Ознакомительный	6 - 11		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет)	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет) 1л Григориадис ТЛ	Ознакомительный	6 - 11		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет)	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет) 1м Воробьева ВВ	Ознакомительный	6 - 11		Да		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет)	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет) 1н Николаева ОВ	Ознакомительный	6 - 11		Да		Групповая
