Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет)	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет) 4н Борга ТИ	Ознакомительный	6 - 11		Да		Групповая
Подготовка к школе	Первые шаги к знаниям (подготовка к школе) 2022-2023 СУББОТА (Филевский б-р 3-2) (платно)	Первые шаги к знаниям (подготовка к школе) 2022-2023 СУББОТА (Филевский б-р 3-2) (платно)	Ознакомительный	5 - 7		Нет		Групповая
Подготовка к школе	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Б.Филевская 15) (платно)	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Б.Филевская 15) (платно) Баулина НГ №1	Ознакомительный	5 - 7		Нет		Групповая
Профориентация	Я выбираю профессию 2022-2023 8-11 класс (Филёвский б-р д.13 к.2) (бюджет)	Я выбираю профессию 2022-2023 8-11 класс (Филёвский б-р д.13 к.2) (бюджет) 9д Мазина АВ	Ознакомительный	13 - 18		Да		Групповая
Подготовка к школе	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Филевский б-р 3-2) (платно)	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Филевский б-р 3-2) (платно) Журавлева ЯА	Ознакомительный	5 - 7		Нет		Групповая
Профориентация	Я выбираю профессию 2022-2023 8-11 класс (Б.Филевская 15) (бюджет)	Я выбираю профессию 2022-2023 8-11 класс (Б.Филевская 15) (бюджет) 8д Мохова КВ	Ознакомительный	13 - 18		Да		Групповая
Профориентация	Я выбираю профессию 2022-2023 8-11 класс (Б.Филевская 15) (бюджет)	Я выбираю профессию 2022-2023 8-11 класс (Б.Филевская 15) (бюджет) 8ж Привезенцева ИГ	Ознакомительный	13 - 18		Да		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-19.00 (Б.Филевская д.15) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-19.00 (Б.Филевская д.15) (платно) 1 и 4кл Свешникова Курячева СС	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Новозаводская д.19) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Новозаводская д.19) (платно) 2,3 и 4 кл Гусейнли С.	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-19.00 (Новозаводская д.19) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-19.00 (Новозаводская д.19) (платно) 1 кл Черепова АА/Никишина СЕ	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Филёвский б-р д.3 к.2) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Филёвский б-р д.3 к.2) (платно) Шебалкова АВ/ВАК	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Филёвский б-р д.3 к.2) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Филёвский б-р д.3 к.2) (платно) Катровская ТВ/Васильева НН	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет)	Логика 2022-2023 1-4 класс (Новозаводская,19) (бюджет) 2п Мангушева ГФ	Ознакомительный	6 - 11		Да		Групповая
Художественно-эстетическое и творческое развитие	Маленький художник 2022-2023 (Симонова АГ - Филевский б-р 8-2) (платно)	Маленький художник 2022-2023 (Симонова АГ - Филевский б-р 8-2) (платно) гр 1	Ознакомительный	3 - 7		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Б.Филевская д.15) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (Б.Филевская д.15) (платно) 1 и 4 кл Деева ИА/Курячева СС	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Филёвский б-р д.3 к.2) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Филёвский б-р д.3 к.2) (платно) Серегина ЖН	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Филёвский б-р д.3 к.2) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Филёвский б-р д.3 к.2) (платно) Шебалкова АВ/ВАК	Ознакомительный	6 - 11		Нет		Групповая
Художественно-эстетическое и творческое развитие	Город мастеров - дошкольники 3-7 лет 2022-2023 (Степакова ЕН - Тучковская 5) (платно)	Город мастеров - дошкольники 6-7 лет 2022-2023 (Степакова ЕН - Тучковская 5) (платно) 1гр	Ознакомительный	2 - 7		Нет		Групповая
Художественно-эстетическое и творческое развитие	Город мастеров - дошкольники 3-7 лет 2022-2023 (Степакова ЕН - Тучковская 5) (платно)	Город мастеров - дошкольники 3-5 лет 2022-2023 (Степакова ЕН - Тучковская 5) (платно) 2гр	Ознакомительный	2 - 7		Нет		Групповая
Русский язык и культура речи	Говорим правильно (школьный уровень)- индивидуальные занятия 2022-2023 1-4 класс (Сычева Г.Е. - Большая Филевская 15) (платно)	Говорим правильно (школьный уровень)- индивидуальные занятия 2022-2023 1-4 класс (Сычева Г.Е. - Большая Филевская 15) (платно) №2	Ознакомительный	6 - 10		Нет		Индивидуальная
Социализация и общение	Логоритмика-2 3-4 года 2022-2023 (Калинычева ИИ - Тучковская 5) (платно)	Логоритмика-2 3-4 года 2022-2023 (Калинычева ИИ - Тучковская 5) (платно) №2	Ознакомительный	2 - 4		Нет		Групповая
Русский язык и культура речи	ПриклюЧтение (Звуки, буквы и слова) 2022-2023 1-4 классы (Дейкина Г.А. - Филёвский б-р д3 к 2) (платно)	ПриклюЧтение (Звуки, буквы и слова) 2022-2023 1-4 классы (Дейкина Г.А. - Филёвский б-р д3 к 2) (платно)	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет)	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет) 4к Рамочникова ВВ	Ознакомительный	6 - 11		Да		Групповая
Интеллектуальное развитие	Развитие речи "АБВГДейка"-2 4-6 лет 2022-2023 (Калинычева ИИ - Тучковская 5) (платно)	Развитие речи "АБВГДейка"-2 4-6 лет 2022-2023 (Калинычева ИИ - Тучковская 5) (платно) №1	Ознакомительный	3 - 6		Нет		Групповая
Английский язык	Английский язык для дошкольников 2022-2023 (Осколкова М.А. - Физкультурный пр-д 8) (платно)	Английский язык для дошкольников 2022-2023 (Осколкова М.А. - Физкультурный пр-д 8) (платно) №1	Ознакомительный	4 - 7		Нет		Групповая
Социализация и общение	Логоритмика 2022-2023 3-4 года (Калинычева ИИ - Береговой пр-д 1Б) (платно)	Логоритмика 2022-2023 3-4 года (Калинычева ИИ - Береговой пр-д 1Б) (платно) №1	Ознакомительный	2 - 4		Нет		Групповая
Подготовка к школе	Первые шаги к знаниям (подготовка к школе) 2022-2023 СУББОТА (Б.Филевская 15) (платно)	Первые шаги к знаниям (подготовка к школе) 2022-2023 СУББОТА (Б.Филевская 15) (платно) №1 Гордеева ОМ	Ознакомительный	5 - 7		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Б.Филевская д.15) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Б.Филевская д.15) (платно) 2 и 3 кл Свешникова ЕВ	Ознакомительный	6 - 11		Нет		Групповая
Художественно-эстетическое и творческое развитие	ИЗО "Малевичи" 2022-2023 (дошкольники) (Барвинская НИ - Физкультурный пр-д,8) (платно)	ИЗО "Малевичи" 2022-2023 (дошкольники) (Барвинская НИ - Физкультурный пр-д,8) (платно) №4	Ознакомительный	4 - 7		Нет		Групповая
Английский язык	Английский язык для младших школьников 2022-2023 1-4 класс (1-4 кл - Осколкова МА; 3 кл - Прохоренкова АЮ - ул.Барклая д.15 к.3) (платно)	Английский язык для младших школьников 2022-2023 1-4 класс (Осколкова М.А. - ул.Барклая д.15 к.3) (платно) №6	Ознакомительный	6 - 11		Нет		Групповая
Художественно-эстетическое и творческое развитие	Изостудия "Палитра" 2022-2023 5-7 лет (Орлова ОИ - Береговой пр-д 1Б) (платно)	Изостудия "Палитра" 2022-2023 5-7 лет (Орлова ОИ - Береговой пр-д 1Б) (платно)2г	Ознакомительный	4 - 7		Нет		Групповая
Английский язык	Английский язык для дошкольников 2022-2023 (Седова ОД - Береговой пр-д 1Б)) (платно)	Английский язык для дошкольников 2022-2023 (Седова ОД - Береговой пр-д 1Б)) (платно) 1гр	Ознакомительный	4 - 6		Нет		Групповая
Английский язык	Английский для дошкольников "English for fun" 2022-2023 (Филиппова СК - Береговой пр-д 1Б) (платно)	Английский для дошкольников "English for fun" 2022-2023 (Филиппова СК - Береговой пр-д 1Б) (платно)	Ознакомительный	3 - 5		Нет		Групповая
Подготовка к школе	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Б.Филевская 15) (платно)	Первые шаги к знаниям (подготовка к школе) 2022-2023 БУДНИ (Б.Филевская 15) (платно) Скафа ЕИ №2	Ознакомительный	5 - 7		Нет		Групповая
Социализация и общение	От звука к букве 2022-2023 (Шабанова ТА - Филевский б 17А) (платно)	От звука к букве 2022-2023 (Шабанова ТА - Филевский б 17А) (платно) 2гр	Ознакомительный	5 - 7		Нет		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет)	Логика 2022-2023 1-4 класс (Филёвский б-р д.3 к.2) (бюджет) 1а Мирзаева ЮВ	Ознакомительный	6 - 12		Да		Групповая
Художественно-эстетическое и творческое развитие	Изостудия "Палитра" 2022-2023 5-7 лет (Орлова ОИ - Береговой пр-д 1Б) (платно)	Изостудия "Палитра" 2022-2023 5-7 лет (Орлова ОИ - Береговой пр-д 1Б) (платно)1г	Ознакомительный	4 - 7		Нет		Групповая
Английский язык	Английский язык для дошкольников 2022-2023 (Седова ОД - Береговой пр-д 1Б)) (платно)	Английский язык для дошкольников 2022-2023 (Седова ОД - Береговой пр-д 1Б)) (платно) 2гр	Ознакомительный	4 - 6		Нет		Групповая
Английский язык	Английский язык для дошкольников 4-6 лет 2022-2023 (Осколкова М.А. - ул. Тучковская д.5) (платно)	Английский язык для дошкольников 4-6 лет 2022-2023 (Осколкова М.А. - ул. Тучковская д.5 №3	Ознакомительный	3 - 6		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Филёвский б-р д.3 к.2) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Филёвский б-р д.3 к.2) (платно) Панова А.В.	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальное развитие	В стране фантазий 2022-2023 (Тафинцева Н.А. - Филевский бульвар 17А) (платно)	В стране фантазий 2022-2023 (Тафинцева Н.А. - Филевский бульвар 17А) (платно)	Ознакомительный	4 - 5		Нет		Групповая
Социализация и общение	Развитие речи "АБВГДейка"-1 2022-2023 4-6 лет (Калинычева ИИ - Береговой пр-д 1Б) (платно)	Развитие речи "АБВГДейка"-1 2022-2023 4-6 лет (Калинычева ИИ - Береговой пр-д 1Б) (платно) №2	Ознакомительный	3 - 7		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Новозаводская д.19) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (Новозаводская д.19) (платно) 1 кл Черепова АА/Никишина СЕ	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (ул.Барклая д.15 к.3) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-16.20 (ул.Барклая д.15 к.3) (платно) Мамедова КМ	Ознакомительный	6 - 11		Нет		Групповая
Интеллектуальные игры	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет)	Логика 2022-2023 1-4 класс (Барклая 15-3) (бюджет) Бокова ТВ 2м	Ознакомительный	6 - 11		Да		Групповая
Интеллектуальные игры	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (ул.Барклая д.15 к.3) (платно)	Группа развития и социализации "Протоша" 1-4 класс 2022-2023 12.20-18.20 (ул.Барклая д.15 к.3) (платно) Мамедова КМ	Ознакомительный	6 - 11		Нет		Групповая
