Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Предметная область математики	Математические ступеньки 2022-2023 (Чижова А.Б, Броварник Н.А. - Физкультурный пр-д 8) (сад)	Математические ступеньки 2022-2023 (Чижова А.Б, Броварник Н.А. - Физкультурный пр-д 8) (сад)	Ознакомительный	5 - 6		Да		Групповая
Предметная область математики	Математические ступеньки 2022-2023 (Вахрамеева ЕБ, Савченко И.В. - Барклая 5-5) (сад)	Математические ступеньки 2022-2023 (Вахрамеева ЕБ, Савченко И.В. - Барклая 5-5) (сад)	Ознакомительный	5 - 6		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 4З (Бурдюгова А.С. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 4З (Бурдюгова А.С. - Б.Филевская д.15) (платно)	Ознакомительный	9 - 10		Нет		Групповая
Проектная и исследовательская деятельность	Мои достижения. Функциональная грамотность. 2022-2023 4Г (Журавлева Я.А.- Филевский б-р 3-2) (платно)	Мои достижения. Функциональная грамотность. 2022-2023 4Г (Журавлева Я.А.- Филевский б-р 3-2) (платно)	Ознакомительный	9 - 11		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 3Ж (Стариченко ДИ - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 3Ж (Стариченко ДИ - Б.Филевская д.15) (платно)	Ознакомительный	8 - 9		Нет		Групповая
Проектная и исследовательская деятельность	Мои достижения. Функциональная грамотность. 2022-2023 4В (Васильева Н.Н.- Филевский б-р 3-2) (платно)	Мои достижения. Функциональная грамотность. 2022-2023 4В (Васильева Н.Н.- Филевский б-р 3-2) (платно)	Ознакомительный	9 - 11		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 3П (Шаруева Э.С. - Новозаводская д.19) (платно)	Учусь учиться 2022-2023 3П (Шаруева Э.С. - Новозаводская д.19) (платно)	Ознакомительный	7 - 9		Нет		Групповая
Предметная область природоведения	Начальная биология 2022-2023 (Пантюхина Л.В., Каретникова Г.В. - Тучковская 5) (сад)	Начальная биология 2022-2023 (Пантюхина Л.В., Каретникова Г.В. - Тучковская 5) (сад)	Ознакомительный	5 - 6		Да		Групповая
Физиология и анатомия	Мир внутри нас 2022-2023 (Ковалева А.Н. - Филевский б-р 1-2) (сад)	Мир внутри нас 2022-2023 (Ковалева А.Н. - Филевский б-р 1-2) (сад)	Ознакомительный	5 - 7		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 3Л (Бычкова М.В. - Барклая д. 15 к.3) (платно)	Учусь учиться 2022-2023 3Л (Бычкова М.В. - Барклая д. 15 к.3) (платно)	Ознакомительный	8 - 10		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 2Н (Носова К.В. - Новозаводская д.19) (платно)	Учусь учиться 2022-2023 2Н (Носова К.В. - Новозаводская д.19) (платно)	Ознакомительный	7 - 8		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 2О (Демидова М.В. - Новозаводская д.19) (платно)	Учусь учиться 2022-2023 2О (Демидова М.В. - Новозаводская д.19) (платно)	Ознакомительный	7 - 8		Нет		Групповая
Предметная область информатика	Решение задач повышенной сложности 2022-2023 8Н, 9 классы (Филиппов ВИ - Новозаводская д.19) (бюджет)	Решение задач повышенной сложности 2022-2023 8Н, 9 классы (Новозаводская д.19) (бюджет) Филиппов ВИ	Ознакомительный	13 - 16		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 1Ж (Осипова А.С. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 1Ж (Осипова А.С. - Б.Филевская д.15) (платно)	Ознакомительный	6 - 7		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 1Н (Николаева О.В. - Новозаводская д.19) (платно)	Учусь учиться 2022-2023 1Н (Николаева О.В. - Новозаводская д.19) (платно)	Ознакомительный	6 - 7		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 1П (Ляпина НИ - Новозаводская 19) (платно)	Учусь учиться 2022-2023 1П (Ляпина НИ - Новозаводская 19) (платно)	Ознакомительный	6 - 7		Нет		Групповая
Предметная область природоведения	Чудеса моего тела 2022-2023 (Димитриева Н.Н. - Филевский бульвар 17А) (сад)	Чудеса моего тела 2022-2023 (Димитриева Н.Н. - Филевский бульвар 17А) (сад)	Ознакомительный	5 - 7		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 1О (Евланова Н.В. - Новозаводская д.19) (платно)	Учусь учиться 2022-2023 1О (Евланова Н.В. - Новозаводская д.19) (платно)	Ознакомительный	6 - 7		Нет		Групповая
Предметная область история	Юный историк 2022-2023 3 классы (Прусакова А.В. - Новозаводская д.19) (бюджет)	Юный историк 2022-2023 3 классы (Прусакова А.В. - Новозаводская д.19) (бюджет)	Ознакомительный	7 - 9		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 1К (Богданова С.Ю. - Барклая д. 15 к.3) (платно)	Учусь учиться 2022-2023 1К (Богданова С.Ю. - Барклая д. 15 к.3) (платно)	Ознакомительный	6 - 7		Нет		Групповая
Предметная область математики	Страна занимательной математики 2022-2023 (Яковлева А.Д. - Береговой пр-д 1Б) (сад)	Страна занимательной математики 2022-2023 (Яковлева А.Д. - Береговой пр-д 1Б) (сад)	Ознакомительный	5 - 7		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 1З (Смолякова К.А. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 1З (Смолякова К.А. - Б.Филевская д.15) (платно)	Ознакомительный	6 - 7		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 3Э (Чернышева Е.В. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 3Э (Чернышева Е.В. - Б.Филевская д.15) (платно)	Ознакомительный	7 - 9		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 2Д (Суркина Е.Н. - Филёвский б-р д.3 к.2) (платно)	Учусь учиться 2022-2023 2Д (Суркина Е.Н. - Филёвский б-р д.3 к.2) (платно)	Ознакомительный	7 - 8		Нет		Групповая
Предметная область физики	Физика в задачах 2022-2023 11И (Мхитарова О.И. - Филёвский б-р д.13 к.2 ) (бюджет)	Физика в задачах 2022-2023 11И (Мхитарова О.И. - Филёвский б-р д.13 к.2 ) (бюджет)	Ознакомительный	16 - 18		Да		Групповая
Предметная область математики	Эрудит 2022-2023 (Алиева Е.В., Петросян Г.Г. - О. Дундича 5 ) (сад)	Эрудит 2022-2023 (Алиева Е.В., Петросян Г.Г. - О. Дундича 5 ) (сад)	Ознакомительный	5 - 6		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 2Ж (Сушилина Е.С. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 2Ж (Сушилина Е.С. - Б.Филевская д.15) (платно)	Ознакомительный	7 - 8		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 3К (Полоник Л.А. - Барклая д. 15 к.3) (платно)	Учусь учиться 2022-2023 3К (Полоник Л.А. - Барклая д. 15 к.3) (платно)	Ознакомительный	8 - 9		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2-3 класс 2022-2023 (Дейкина Г.А. - Филёвский б-р д.3 к.2) (платно)	Учусь учиться 2-3 класс 2022-2023 (Дейкина Г.А. - Филёвский б-р д.3 к.2) (платно)	Ознакомительный	7 - 10		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 2П (Мангушева Г.Ф. - Новозаводская д.19) (платно)	Учусь учиться 2022-2023 2П (Мангушева Г.Ф. - Новозаводская д.19) (платно)	Ознакомительный	7 - 8		Нет		Групповая
Предметная область математики	Математические ступеньки 2022-2023 (Шагурина Н.М. - Береговой пр-д 1Б) (сад)	Математические ступеньки 2022-2023 (Шагурина Н.М. - Береговой пр-д 1Б) (сад)	Ознакомительный	5 - 7		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 2И (Карасева Г.Л. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 2И (Карасева Г.Л. - Б.Филевская д.15) (платно)	Ознакомительный	7 - 8		Нет		Групповая
Предметная область история	Путешествие в историю 2022-2023 1-2 класс (Прусакова А.В. - Новозаводская д.19) (бюджет)	Путешествие в историю 2022-2023 1-2класс (Прусакова А.В. - Новозаводская д.19) (бюджет)	Ознакомительный	6 - 8		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 4Е (Баулина Н.Г. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 4Е (Баулина Н.Г. - Б.Филевская д.15) (платно)	Ознакомительный	9 - 10		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 2К (Фильчакова С.В. - Барклая д. 15 к.3) (платно)	Учусь учиться 2022-2023 2К (Фильчакова С.В. - Барклая д. 15 к.3) (платно)	Ознакомительный	7 - 8		Нет		Групповая
Предметная область математики	Конструируем и строим (математический кружок) 2022-2023 (Хламова АС - Филевский б-р 8-2) (сад)	Конструируем и строим (математический кружок) 2022-2023 (Хламова АС - Филевский б-р 8-2) (сад)	Ознакомительный	5 - 6		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 4Н (Борга Т.И. - Новозаводская д.19) (платно)	Учусь учиться 2022-2023 4Н (Борга Т.И. - Новозаводская д.19) (платно)	Ознакомительный	9 - 11		Нет		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 4Э (Скафа Е.И. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 4Э (Скафа Е.И. - Б.Филевская д.15) (платно)	Ознакомительный	8 - 10		Нет		Групповая
Предметная область математики	Юные Пифагоры-дошкольники 2022-2023 (Степакова Е.Н., Лейкина В.М - Тучковская, д.5) (сад)	Юные Пифагоры-дошкольники 2022-2023 (Степакова Е.Н., Лейкина В.М - Тучковская, д.5) (сад)	Ознакомительный	5 - 7		Да		Групповая
Проектная и исследовательская деятельность	Учусь учиться 2022-2023 1И (Тульская Д.Д. - Б.Филевская д.15) (платно)	Учусь учиться 2022-2023 1И (Тульская Д.Д. - Б.Филевская д.15) (платно)	Ознакомительный	6 - 10		Нет		Групповая
