Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Математические задачи повышенной сложности	Занимательная математика для школьников 2022-2023 3Д (Крылова С.В. - Филевский б-р 3-2) (бюджет)	Занимательная математика для школьников 2022-2023 3Д (Крылова С.В. - Филевский б-р 3-2) (бюджет)	Ознакомительный	8 - 11		Да		Групповая
Математические задачи повышенной сложности	Математическая вертикаль-8 2022-2023 8М (Крапивина СВ - Новозаводская,19) (бюджет)	Математическая вертикаль-8 2022-2023 8М (Крапивина СВ - Новозаводская,19) (бюджет)	Ознакомительный	13 - 15		Да		Групповая
Математические задачи повышенной сложности	В мире математики 2022-2023 1п ( Ляпина НИ - Новозаводская д.19) (бюджет)	В мире математики 2022-2023 1п ( Ляпина НИ - Новозаводская д.19) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 1И (Тульская ДД - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 1И ( Тульская ДД - Б.Филевская д.15) (платно)	Ознакомительный	6 - 7		Нет		Групповая
Математические задачи повышенной сложности	Практикум по решению задач по математике-8 2022-2023 8А (Комаровская Т.И.- Филевский б-р д13 к2) (бюджет)	Практикум по решению задач по математике-8 2022-2023 8А (Комаровская Т.И.- Филевский б-р д13 к2) (бюджет)	Ознакомительный	13 - 15		Да		Групповая
Лего-конструирование и моделирование	Строим сами 2022-2023 (Мамрукова Н.Б, Нефедова Ю.С - Филевский б-р 8-2) (сад)	Строим сами 2022-2023 (Мамрукова Н.Б, Нефедова Ю.С - Филевский б-р 8-2) (сад)	Ознакомительный	5 - 7		Да		Групповая
Математические задачи повышенной сложности	В мире математики 2022-2023 2П (Мангушева ГФ - Новозаводская 19) (бюджет)	В мире математики 2022-2023 2П (Мангушева ГФ - Новозаводская 19) (бюджет) Мангушева ГФ	Ознакомительный	7 - 11		Да		Групповая
Математические задачи повышенной сложности	Математическая вертикаль-5 2022-2023 5л класс (Карабко ТВ - Барклая 15-3) (бюджет)	Математическая вертикаль-5 2022-2023 5л класс (Карабко ТВ - Барклая 15-3) (бюджет)	Ознакомительный	10 - 12		Да		Групповая
Математические задачи повышенной сложности	Нестандартная задача 2022-2023 1В (Шумилина Ю.Г. - Филёвский б-р д.3 к.2) (бюджет)	Нестандартная задача 2022-2023 1В (Шумилина Ю.Г. - Филёвский б-р д.3 к.2) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 4Ж (Чернышевская Т.В - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 4Ж (Чернышевская Т.В - Б.Филевская д.15) (платно)	Ознакомительный	9 - 10		Нет		Групповая
ЮИД (Юные инспектора дорожного движения)	Азбука дорожного движения 2022-2023 (Трещалина Н. Г. Мартыненко А.В. - Филевский б-р 23-2) (сад)	Азбука дорожного движения 2022-2023 (Трещалина Н. Г. Докина Е.В. - Филевский б-р 23-2) (сад)	Ознакомительный	5 - 6		Да		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 1Е (Нилова М.В. - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 1Е (Нилова М.В. - Б.Филевская д.15) (платно)	Ознакомительный	6 - 7		Нет		Групповая
Кино-видеотехника	Медиатоша 2022-2023 5-9, 10К класс (Попов ФП - Б.Филевская 15) (бюджет)	5-9 кл Медиатоша 2022-2023 5-9 класс (Попов ФП - Б.Филевская 15) (бюджет)	Ознакомительный	10 - 18		Да		Групповая
Математические задачи повышенной сложности	Путешествие в страну математики 2022-2023 9 (база страта) (Сулыга К.Р. - Филевский б-р 13-2) (бюджет)	Путешествие в страну математики 2022-2023 9 (база страта) (Сулыга К.Р. - Филевский б-р 13-2) (бюджет)	Ознакомительный	14 - 16		Да		Групповая
авиа-, авто-, судо-, железнодорожное моделирование	Авиамоделирование 2022-2023 2-11 класс (Гудинов АА - Б.Филевская 15) (бюджет)	Авиамоделирование 2022-2023 2-5 класс (Гудинов АА - Б.Филевская 15) (бюджет)1 г	Ознакомительный	8 - 18		Да		Групповая
авиа-, авто-, судо-, железнодорожное моделирование	Авиамоделирование 2022-2023 2-11 класс (Гудинов АА - Б.Филевская 15) (бюджет)	Авиамоделирование 2022-2023 6-11 класс (Гудинов АА - Б.Филевская 15) (бюджет) 2 г	Ознакомительный	8 - 18		Да		Групповая
Предметная область информатики	Прототипирование (3D-ручка) 2022-2023 1-4 класс (Шишлова СВ - Филевский б-р 3-2) (платно)	Прототипирование (3D-ручка) 2022-2023 1-4 класс (Шишлова СВ - Филевский б-р 3-2) (платно) №1	Ознакомительный	6 - 11		Нет		Групповая
Предметная область информатики	Прототипирование (3D-ручка) 2022-2023 1-4 класс (Шишлова СВ - Филевский б-р 3-2) (платно)	Прототипирование (3D-ручка) 2022-2023 1-4 класс (Шишлова СВ - Филевский б-р 3-2) (платно) №2	Ознакомительный	6 - 11		Нет		Групповая
Математические задачи повышенной сложности	Познавательная математика 2022-2023 8Г (Лепилина НА - Филевский б-р 13-2) (бюджет)	Познавательная математика 2022-2023 8Г (Лепилина НА - Филевский б-р 13-2) (бюджет)	Ознакомительный	13 - 15		Да		Групповая
Математические задачи повышенной сложности	В мире математики 2022-2023 1А (Мирзаева Ю.В. - Филёвский б-р д.3 к.2) (бюджет)	В мире математики 2022-2023 1А (Мирзаева Ю.В. - Филёвский б-р д.3 к.2) (бюджет)	Ознакомительный	6 - 8		Да		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 1Э (Астрадамова И.Г. - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 1Э (Астрадамова И.Г. - Б.Филевская д.15) (платно)	Ознакомительный	6 - 7		Нет		Групповая
Математические задачи повышенной сложности	Практикум по решению задач по математике-9 2022-2023 9 (повышенный страт) (Комаровская Т.И.- Филевский б-р д13 к2) (бюджет)	Математические задачи повышенной сложности, Практикум по решению задач по математике-9 2022-2023 9 (повышенный страт) (Комаровская Т.И.- Филевский б-р д13 к2) (бюджет)	Ознакомительный	14 - 15		Да		Групповая
Лего-конструирование и моделирование	Конструируем и строим 2022-2023 (Куликова С.Е., Желудева М.А. - Филевский б-р 8-2) (сад)	Конструируем и строим 2022-2023 (Куликова С.Е., Желудева М.А. - Филевский б-р 8-2) (сад)	Ознакомительный	5 - 7		Да		Групповая
Компьютерные технологии, программирование, робототехника	Игровые проекты Scratch 2022-2023 3-4 класс (Логвиненко ЕН - Барклая 15-3) (платно)	Игровые проекты Scratch 2022-2023 3-4 класс (Логвиненко ЕН - Барклая 15-3) (платно)	Ознакомительный	8 - 10		Нет		Групповая
Математические задачи повышенной сложности	Математический калейдоскоп 2022-2023 2М (Бокова ТВ - Барклая д.15 к.3) (бюджет)	Математический калейдоскоп 2022-2023 2М (Бокова ТВ - Барклая д.15 к.3) (бюджет)	Ознакомительный	7 - 11		Да		Групповая
Математические задачи повышенной сложности	Математическая вертикаль-8 2022-2023 8Д (Лихачева М.В. - Б.Филевская, 15) (бюджет)	Математическая вертикаль-8 2022-2023 8Д (Лихачева М.В. - Б.Филевская, 15) (бюджет)	Ознакомительный	13 - 15		Да		Групповая
