Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Математические задачи повышенной сложности	Юный математик 2022-2023 5И (Глазова В.М. - Б.Филевская д.15) (бюджет)	Юный математик 2022-2023 5И (Глазова В.М. - Б.Филевская д.15) (бюджет) Глазова ВМ	Ознакомительный	9 - 11		Да		Групповая
Компьютерные технологии, программирование, робототехника	Лицей Академии Яндекса первый год 2022-2023 8-10 класс (Богданов АА - Б.Филевская 15) (бюджет)	Лицей Академии Яндекса первый уровень 2022-2023 8-10 класс (Богданов АА - Б.Филевская 15) (бюджет)	Углубленный	13 - 17		Да		Групповая
Математические задачи повышенной сложности	Математическая вертикаль-7 2022-2023 7И (Карабко ТВ - Барклая 15-3) (бюджет)	Математическая вертикаль-7 2022-2023 7И (Карабко ТВ - Барклая 15-3) (бюджет)	Ознакомительный	12 - 14		Да		Групповая
Математические задачи повышенной сложности	Математическая шкатулка 2022-2023 2А (Лунгу Н.Н. - Филёвский б-р д.3 к.2) (бюджет)	Математическая шкатулка 2022-2023 2А (Лунгу Н.Н. - Филёвский б-р д.3 к.2) (бюджет)	Ознакомительный	7 - 11		Да		Групповая
Математические задачи повышенной сложности	Юный мыслитель 2022-2023 3Г (Судомир Н.О. - Филевский б-р 3-2) (бюджет)	Юный мыслитель 2022-2023 3Г (Судомир Н.О. - Филевский б-р 3-2) (бюджет)	Ознакомительный	8 - 10		Да		Групповая
Математические задачи повышенной сложности	Математическая вертикаль-8 2022-2023 8К (Сагингалиева Л.И - Барклая д. 15 к.3) (бюджет)	Математическая вертикаль-8 2022-2023 8К (Сагингалиева Л.И - Барклая д. 15 к.3) (бюджет)	Ознакомительный	13 - 15		Да		Групповая
Математические задачи повышенной сложности	Математика на 5+ 2022-2023 2Е (Сапожникова АС - Б.Филевская д.15) (платно)	Математика на 5+ 2022-2023 2Е (Шигапова АС (Сапожникова АС) - Б.Филевская д.15) (платно)	Ознакомительный	7 - 10		Нет		Групповая
Математические задачи повышенной сложности	Знайка 2022-2023 3П (Шаруева ЭС - Новозаводская д.19) (бюджет)	Знайка 2022-2023 3П (Шаруева ЭС - Новозаводская д.19) (бюджет)	Ознакомительный	8 - 11		Да		Групповая
Макетирование и моделирование технических объектов	Чудеса из бумаги 2022-2023 (Сычева О.С - Филевский б-р,23-2) (сад)	Чудеса из бумаги 2022-2023 (Сычева О.С - Филевский б-р,23-2) (сад)	Ознакомительный	5 - 7		Да		Групповая
Технические устройства, приборы и механизмы	Юный техник 2022-2023 5-8 класс (Пензин СА - Барклая д. 15 к.3) (бюджет)	Юный техник 2022-2023 5-8 класс (Пензин СА - Барклая д. 15 к.3) (бюджет)	Ознакомительный	10 - 14		Да		Групповая
Компьютерные технологии, программирование, робототехника	Лицей Академии Яндекса первый год 2022-2023 8-10 класс (Лукичев ЕС - Б.Филевская 15) (бюджет)	Лицей Академии Яндекса первый уровень 2022-2023 8-10 класс (Лукичев ЕС - Б.Филевская 15) (бюджет)	Базовый	13 - 17		Да		Групповая
Математические задачи повышенной сложности	Волшебная страна чисел 2022-2023 2В (Дейкина ГА - Филёвский б-р д.3 к.2) (бюджет)	Волшебная страна чисел 2022-2023 2В (Дейкина ГА - Филёвский б-р д.3 к.2) (бюджет) Дейкина ГА	Ознакомительный	7 - 11		Да		Групповая
Кино-видеотехника	Звукорежессура 2022-2023 5-11 класс (Попов ФП - Б.Филевская 15) (бюджет)	Звукорежессура 2022-2023 5-11 класс (Попов ФП - Б.Филевская 15) (бюджет)	Ознакомительный	10 - 18		Да		Групповая
Компьютерные технологии, программирование, робототехника	Программирование-5 2022-2023 5Т (Трушин ПС - Б.Филевская 15) (бюджет)	Программирование-5 2022-2023 5Т (Трушин ПС - Б.Филевская 15) (бюджет)	Ознакомительный	10 - 12		Да		Групповая
