Вид деятельности	Название объединения	Название группы	Категория программы	Возрастная группа обучающихся (лет)	ФИО Педагога	Бесплатное ли обучение	Срок обучения	Форма занятия
Тхэквондо	Тхэквондо-72 2022-2023 5-11 класс (Елисеева АВ/Ярцев ВА - Б.Филевская 15) (Платно)	Тхэквондо-72 2022-2023 5-11 класс (Ярцев ВА - Б.Филевская 15) (Платно)	Ознакомительный	10 - 18		Нет		Групповая
Танцевальный спорт	Спортивные бальные танцы 2022-2023 1-11 классы (Лыков Р.Ю. - Б.Филевская 15) (Платно)	Спортивные бальные танцы 2022-2023 1-11 классы (Лыков Р.Ю. - Б.Филевская 15) (Платно) № 2	Ознакомительный	6 - 18		Нет		Групповая
Танцевальный спорт	Спортивные бальные танцы 2022-2023 1-11 классы (Лыков Р.Ю. - Б.Филевская 15) (Платно)	Спортивные бальные танцы 2022-2023 1-11 классы (Лыков Р.Ю. - Б.Филевская 15) (Платно) №3	Ознакомительный	6 - 18		Нет		Групповая
Баскетбол	Баскетбол 2022-2023 6-11 класс (Теренина ЕМ - Филёвский б-р д.13 к.2) (бюджет)	Баскетбол 2022-2023 6-11 класс (Теренина ЕМ - Филёвский б-р д.13 к.2) (бюджет)	Ознакомительный	11 - 17		Да		Групповая
Футбол	Футбол для дошкольников 2022-2023 (Малиновский А. - Физкультурный пр-д 8)(платно)	Футбол для дошкольников 2022-2023 (Малиновский А. - Физкультурный пр-д 8)(платно) №5 младшая	Ознакомительный	3 - 6		Нет		Групповая
Тхэквондо	ОФП с элементами тхэквондо 2022-2023 1-4 класс (Елисеева АВ/Ярцев ВА - Б.Филевская 15) (Платно)	ОФП с элементами тхэквондо 2022-2023 1-4 класс (Ярцев ВА - Б.Филевская 15) (Платно)	Ознакомительный	6 - 11		Нет		Групповая
Баскетбол	Баскетбол 2-й год обучения 2022-2023 2-4 класс (Прыскалин РА - Новозаводская,19) (бюджет)	Баскетбол 2-й год обучения 2022-2023 2-4 класс (Прыскалин РА - Новозаводская,19) (бюджет)	Ознакомительный	7 - 11		Да		Групповая
Художественная гимнастика	Художественная гимнастика "Колибри" - спорт 2022-2023 5-11 класс (Веричева П - Б.Филевская 15) (платно)	Художественная гимнастика 2022-2023 4-7 лет (Веричева П - Б.Филевская 15) (платно)5г	Ознакомительный	-		Нет		Групповая
Настольный теннис	Настольный теннис 2022-2023 1-4 класс (Ситникова ЕН - Большая Филевская 15) (бюджет)	№6 1кл Настольный теннис 2022-2023 1-4 класс (Ситникова ЕН - Большая Филевская 15) (бюджет)	Ознакомительный	6 - 11		Да		Групповая
ОФП	Ритмика для малышей-2 2022-2023 (Бокусова ВВ - Филевский б-р 23-2) (платно)	Ритмика для малышей 2022-2023 (Бокусова ВВ - Филевский б-р 23-2) (платно) №6	Ознакомительный	2 - 5		Нет		Групповая
ОФП	Подготовка к ГТО 2022-2023 5-11 кадетский класс (Теренина ЕМ, Воробьев АА - Филевский б-р 3-2, Филёвский б-р д.13-2) (бюджет)	6а Подготовка к ГТО 2022-2023 5-11 кадетский класс (Макуха АВ - Филевский б-р 3-2) (бюджет)	Ознакомительный	9 - 18		Да		Групповая
ОФП	Подготовка к ГТО 2022-2023 5-11 кадетский класс (Теренина ЕМ, Воробьев АА - Филевский б-р 3-2, Филёвский б-р д.13-2) (бюджет)	7а Подготовка к ГТО 2022-2023 5-11 кадетский класс (Макуха АВ - Филёвский б-р д.13-2) (бюджет)	Ознакомительный	9 - 18		Да		Групповая
Бадминтон	Бадминтон 11+ 2022-2023 5-8 классы (Ситникова ЕН - Барклая 15-3) (платно)	Бадминтон 11+ 2022-2023 5-8 классы (Ситникова ЕН - Барклая 15-3) (платно)	Ознакомительный	10 - 14		Нет		Групповая
Футбол	Футбол для школьников 2022-2023 1-4 класс (Малиновский А. - Б.Филевская д.15) (платно)	Футбол для школьников 2022-2023 1-4 класс (Малиновский А. - Б.Филевская д.15) (платно) №1	Ознакомительный	6 - 11		Нет		Групповая
Футбол	Футбол для школьников/дошкольников-1 2022-2023 4-7 лет, 1-4 класс (Малиновский А. - Новозаводская 19) (платно)	Футбол для школьников-1 2022-2023 1-4 класс (Малиновский А. - Новозаводская 19) (платно) №3	Ознакомительный	3 - 11		Нет		Групповая
Футбол	Футбол для дошкольников 2022-2023 (Шлеев ЮН - Филевский б-р 17А) (платно)	Футбол для дошкольников 2022-2023 (Шлеев ЮН - Филевский б-р 17А) (платно) №5 3-4лет	Ознакомительный	3 - 7		Нет		Групповая
